Facility Name (alternative name),Facility Key Number
Clifton Road Pump Station,12331
Harold Ashwell Boulevard Pump Station,12349
Klein Constantia Road Pump Station,12359
Lobelia Community Hall,12439
Noordelikes Tygerberg Rugby Club,12489
Newlands Swimming Pool,12549
Bonteheuwel Sports Ground,12566
Factreton Swimming Pool,12137
Schaapkraal Solid Waste Drop Off Site,12197
Browns Farm Swimming Pool,12223
Lotus River Sport and Recreation Centre,12297
Andrag Pump Station,12320
Ascot Sewage Pump Station ,12321
Clan Stewart Street Pump Station,12330
Alf Street Pump Station,12336
Glencairn Pump Station,12345
Lourens River Pump Station,12368
Pelican Park Pump No. 1 Station,12390
Steel Doors Pump Station,12416
Durbanville Sportsground,12524
Tygerberg Nature Reserve,12533
Brackenfell Cricket Club ,12557
Forest Drive Pump Station,12452
Schotsche Kloof Flats,12461
Tygerberg Reservoir,12493
Parow Park Municipal Flats,12567
Brooklyn Fire Station,12172
Bonteheuwel Multi Purpose Centre,12202
Durbanville Law Enforcement,12277
Somerset West Driver's Licence Testing Centre,12309
Somerset West Main Road Hydrological Station,12310
Bokmakierie Pump Station,12325
Charles Hoffe Pump Station,12329
Kapteins Baai Pump Station ,12356
Langeberg Reservoir Water Pump Station,12366
Tokai Sewage Pump Station ,12425
Cravenby Community Hall,12433
Three Anchor Bay Stomwater Pump Station,12475
Strand Street Pump Station,12525
Dr Ivan Toms CDC,12529
Durbanville Sport Ground,12550
Duncan Road Pump Station,12556
,
*Annual consumption is always for the last three years.,
