Name of infrastructure,OID
Westridge Clinic,11980
Silvertown Clinic,11930
Vuyani Clinic,12017
Crossroads 2 clinic,#N/A
Eastridge Clinic,11962
Manenberg Clinic ,#N/A
Honeyside Satellite (Landsdowne),#N/A
Hanover Park Clinic,12099
Lansdowne Clinic,12010
Weltevreden Valley Clinic,12013
Diep River Clinic,11911
Wynberg Clinic,11910
Gustrouw Clinic,12089
Protea Park Clinic,11966
Newfields Satellite (Hanover Park),#N/A
Chapel Street Clinic,12219
Simonstown Satellite (Fish Hoek),#N/A
Phillipi Clinic,12226
Hout Bay Main Road Clinic,#N/A
Heideveld Clinic,#N/A
Sarepta Clinic,#N/A
Blue Downs Clinic,#N/A
Dr Ivan Toms Clinic,#N/A
Ikwezi CHC,#N/A
Macassar clinic,#N/A
Kuils River Clinic,12464
Sir Lowry's Pass Clinic,#N/A
Wesbank Clinic,#N/A
Site B Youth Centre,#N/A
Zakhele Clinic,#N/A
Guguletu Clinic,#N/A
Hazeldal satellite (Silvertown),#N/A
Masincedane Clinic,#N/A
Crossroads 1 Clinic,#N/A
Lentegeur Clinic,#N/A
Mandalay Satellite (Crossroad 1),#N/A
Mzamomhle Clinic,#N/A
Phumlani Clinic,12432
Bloekombos Clinic,#N/A
Bothasig Clinic ,#N/A
Brackenfell Clinic ,#N/A
Brighton Clinic,#N/A
Harmonie Clinic,#N/A
Fisantekraal,#N/A
Northpine Clinic,12229
Scottsdene Clinic,12441
Wallacedene Clinic,#N/A
Alphen Clinic,12512
Claremont Clinic,#N/A
Masiphumelele Clinic,#N/A
Pelikan Park Satellite (Lotus River),#N/A
Retreat Clinic,#N/A
Strandfontein Clinic,#N/A
Adriaanse Clinic,#N/A
Bishop Lavis Clinic,#N/A
Chestnut Satellite (St Vincent),#N/A
Delft South Clinic,#N/A
Elsies River Clinic,#N/A
Groenvallei Satellite (Kasselvlei),#N/A
Kasselvlei CHC,#N/A
Leonsdale Satellite (Elsies River),#N/A
Matroosfontein Satellite,#N/A
Netreg Clinic,#N/A
St Vincent Clinic,#N/A
Uitsig Clinic,#N/A
Langa Clinic,11969
Maitland Clinic,12186
Melkbos Strand Clinic,#N/A
Melkbos Strand (Mobile),#N/A
Pella Clinic Satellite (Saxon Sea),#N/A
Pinelands Satellite (Maitland),#N/A
Table View Clinic,#N/A
Denemere clinic,#N/A
Eerste River Clinic,#N/A
Red Hill Satellite (Muizenberg),#N/A
Riverton Clinic,#N/A
Cape Town Stadium,12055
City Hall ,#N/A
Good Hope Centre ,#N/A
Athlone Stadium ,#N/A
Granary Heritage Building,#N/A
Ebenezer depot,#N/A
Hillstar depot,#N/A
Atlantis depot,12045
Killarney depot,#N/A
Delft depot,#N/A
Southfield depot,#N/A
Heideveld depot ,#N/A
Nyanga depot,#N/A
Fish Hoek depot,#N/A
Kuilsriver depot,#N/A
Langeberg depot,#N/A
Ndabeni depot,#N/A
Arnold Wilhelm depot,#N/A
Sacks Circle depot,#N/A
Socony depot,#N/A
Strand depot,#N/A
Wallacedene depot,#N/A
Mitchells Plain depot,#N/A
Hout Bay depot,#N/A
Khayelitsha depot,#N/A
Mitchell’s Plain,#N/A
Station Deck,#N/A
Buitengracht Pedestrian Bridge,#N/A
Koeberg,#N/A
Maitland,#N/A
Potsdam,#N/A
Du Noon,#N/A
Atlantis,#N/A
Wynberg,#N/A
Rosmead Avenue,#N/A
Claremont,#N/A
Mowbray,#N/A
Athlone,#N/A
Hanover Park,#N/A
Lotus River,#N/A
Grassy Park,#N/A
Retreat,#N/A
Fish Hoek,#N/A
Nonkqubela,#N/A
Khayelitsha,#N/A
Nolungile,#N/A
Nyanga Junction,#N/A
Gugulethu,#N/A
Nyanga Central,#N/A
Philippi,#N/A
Langa,#N/A
Joe Gqabi,#N/A
Bellville,#N/A
Unibell,#N/A
Eerste River,#N/A
Meltonrose,#N/A
Malibu Village,#N/A
Blackheath,#N/A
Kuils River,#N/A
Hazeldene,#N/A
Mfuleni(Local),#N/A
Wesbank,#N/A
Lwandle,#N/A
Strand,#N/A
Somerset West(Shoprite),#N/A
Durbanville,#N/A
Fisantekraal,#N/A
Bayside Mall,#N/A
Mamre ,#N/A
Makhaza,#N/A
Kuyasa,#N/A
Parow,#N/A
Elsies River,#N/A
Kalkfontein,#N/A
Mfuleni Long (Distance),#N/A
Nomzamo,#N/A
Somerset West(Municipal),#N/A
Macassar,#N/A
Sir Lowry ,#N/A
Ysterplaat,#N/A
Claremont (Park n Ride),#N/A
Ottery (Park and Ride),#N/A
Retreat  (Park & Ride),#N/A
Vrygrond,#N/A
Vrygrond Guard Hut,#N/A
Masiphumelele,#N/A
Ocean View,#N/A
Steenberg,#N/A
Steenberg (Park and Ride),#N/A
Plumstead ,#N/A
Muizenberg,#N/A
Simonstown,#N/A
Heathfield (Park and Ride),#N/A
Diep River (Park and Ride),#N/A
Kenilworth (Park and Ride),#N/A
Kenilworth ,#N/A
Vuyani,#N/A
Bonteheuwel,#N/A
Tygerberg,#N/A
Lentegeur ,#N/A
Bloekombos,#N/A
Wallacedene,#N/A
Brackenfell (Park and Ride),#N/A
Oosterzee (Park and Ride),#N/A
Monte Vista (Park and Ride),#N/A
Kuilsrivier (Park & Ride),#N/A
Eersterivier (Park & Ride),#N/A
Meltonrose (Park & Ride),#N/A
Civic Centre,#N/A
Gardens,#N/A
Granger Bay,#N/A
Grey,#N/A
Janssens,#N/A
Lagoon Beach,#N/A
Melkbosstrand,#N/A
Milnerton,#N/A
Neptune,#N/A
Paarden Eiland,#N/A
Queens Beach,#N/A
Racecourse,#N/A
Section,#N/A
Stadium,#N/A
Sunset Beach,#N/A
Table View,#N/A
Thibault,#N/A
Vrystaat,#N/A
Waterfront,#N/A
Wood,#N/A
Woodbridge,#N/A
Woodstock,#N/A
Zoarvlei,#N/A
Omuramba,#N/A
Century City,#N/A
Montague Gardens,#N/A
Royal Ascot,#N/A
Porterfield,#N/A
Sandown,#N/A
Potsdam,#N/A
Circle East,#N/A
Killarney,#N/A
Dunoon,#N/A
Usasaza,#N/A
Atlantis,#N/A
Mitchells Plain,#N/A
Refinery,#N/A
Turf Club,#N/A
Phoenix,#N/A
Sanddrift,#N/A
TCT MyCiti stations,#N/A
Transport Management Centre ,#N/A
Saxonsea ECD,#N/A
Uvuyolwethu Enrichment Mnweba,#N/A
Little Bambinos Daycare,#N/A
Little Lillies Educare Centre,#N/A
Vukile Tshwete Enrichment Centre,#N/A
Joyce Ndinisa Enrichment Centre,#N/A
Hazendal Educare Centre,#N/A
Kiddies Educare Centre,#N/A
Avonwood Educare Centre,#N/A
Shelley Street Nursary School,#N/A
Mustadafin Educare,#N/A
Sunshine Edu & Aftercare,#N/A
Ecclesia ECD,#N/A
Isibanesethu Enrichment Centre,#N/A
Eulalie Stott Educare,#N/A
Mfuleni ECD Centre,#N/A
Sing for Africa ECD Centre,#N/A
Cuddly Bear ECD Centre,#N/A
Ruth First Educare,#N/A
Mighty Minds Educare,#N/A
Dora Tamana Educare Centre,#N/A
Amy Biehl Enrichment centre,#N/A
Sonwabile Educare Centre,#N/A
Leonsdale Educare Centre,#N/A
Scorpio Educare Centre,#N/A
Strandfontein Educare Centre,#N/A
Fisantekraal ECD Centre,#N/A
Rainbow ECD Centre,#N/A
Masiphumelele Educare ,#N/A
Delft ECD Centre,#N/A
Nantes ECD Centre,#N/A
Luberon Educare,#N/A
The Aiden Rose ECD Centre,#N/A
Golden Gate ECD Centre,#N/A
Lotus River ECD Centre,#N/A
Water and Sanitation Headquaters,#N/A
Biodiversity Showcase Garden,11192
False Bay Nature Reserve: Rondevlei Section,#N/A
False Bay Nature Reserve: Zeekoevlei and Strandfontein Sections,#N/A
Edith Stephens Nature Reserve,11174
Bracken Nature Reserve,10973
Durbanville Nature Reserve,11024
Tygerberg Nature Reserve,12041
Helderberg Nature Reserve,12517
Steenbras Nature Reserve,#N/A
Blaauwberg Nature Reserve,#N/A
Zandvlei Estuary Nature Reserve,#N/A
Harmony Flats Nature Reserve,#N/A
Wolfgat Nature Reserve,#N/A
Macassar Dune Nature Reserve,#N/A
Bothasig Fynbos Nature Reserve,#N/A
Uitkamp Wetland Nature Reserve,#N/A
Botterblom Nature Reserve,#N/A
Table Bay Nature Reserve,#N/A
Witzands Aquifer Nature Reserve,#N/A
Westlake Nursery and Conservation Centre,#N/A
Goodwood Court,#N/A
Hardekraaltjie,#N/A
Ndabeni SCM Store,#N/A
Bellville Broadway street (Pump station),#N/A
Belville Police Station,#N/A
Gordons bay Traffic Department 1,#N/A
Gordons bay Traffic Department 2,#N/A
"CCT Fleet Workshop, 14-16 Queen Victoria Road",#N/A
