Name of infrastructure,OID
Khayelitsha,#N/A
Somerset West/Spyker Street,#N/A
Mowbray City Parks Depot,11888
Athlone,#N/A
Merrydale,#N/A
Newlands,#N/A
Muizenberg,#N/A
Hill Star City Park,#N/A
Weltevreden/ Tafelsig Depot,11137
Green Point Park ,#N/A
Seapoint,#N/A
Company's Garden,#N/A
Wynberg - Maynardville park (office),#N/A
Rondebosch 2,#N/A
Wynberg - Maynardville park (security),#N/A
Rondebosch 1,#N/A
Trafalgar Park,#N/A
Wynberg - Maynardville park (theatre),#N/A
Wynberg - Maynardville park (general),#N/A
COCT Green Point Park East Gate,#N/A
Houtbay ,#N/A
Old Oak Depot,#N/A
Beaconvale,#N/A
Kraaifontein,#N/A
Westridge City Parks Depo,#N/A
Cape Town,#N/A
Woodstock,#N/A
Wynberg Park,#N/A
Zandvlei Recreational Park,#N/A
Arderne Gardens,12260
Durbanville Rose Garden,12520
Elsies River,#N/A
Khayelitsha,#N/A
Kuilsriver,#N/A
Khayelitsha Wetlands Park,#N/A
Killarney Park,#N/A
Trafalgar Park Pump House,#N/A
De Waal Park,#N/A
Blue Downs,#N/A
Langerberg Depot,#N/A
Westridge Gardens,#N/A
Maitland cemetery 1,#N/A
Maitland cemetery 2,#N/A
Maitland cemetery 3,#N/A
Kraaifontein Cemetery,10980
Langa cemetery ,#N/A
Atlantis cementery,#N/A
Gugulethu cemetery,#N/A
Thornton/ Pinelands cemetery,#N/A
Delft cemetery,#N/A
Durbanville cemetery,#N/A
Modderdam cemetery,#N/A
Stikland cemetery,#N/A
Wallacedene cemetery,#N/A
Goedehoop cemetry,#N/A
Gordon's Bay cemetery,#N/A
Khayelistha cemetery,#N/A
Kuilsriver cemetery,#N/A
Lwandle cemetery,#N/A
Old Strand cemetery,#N/A
Rusthof cemetery,#N/A
Watt Street Niche cemetery,#N/A
Welmoed cemetery,#N/A
Dido Valley cemetery,#N/A
Hout Bay cemetery,#N/A
Klip cemetery,#N/A
Muizenberg cemetery,#N/A
Ocean View cemetery,#N/A
Plumstead cemetery,#N/A
Schoenstatt cemetry,#N/A
Noordhoek cemetery,#N/A
Eikendal Memorial cemetery,#N/A
Kleinvlei cemetery,#N/A
Mfuleni cemetery,#N/A
Old Mfuleni cemetery,#N/A
Sir Lowry's Pass cementery,#N/A
Somerset West cemetery,#N/A
Waterkloof Memorial cemetery,#N/A
Constantia cemetery,#N/A
Seaforth cemetery,#N/A
Athlone Power Station,#N/A
Atlantis Depot,12045
"Bloemhof Block A (Distr Admin, High Voltage, Eng Supp, OHS)",#N/A
"Bloemhof Block G  (FLR Bloemhof Block B (Sales and Cust), Vending, BI, Public Light)",#N/A
"Bloemhof Block D (MV, Change Rooms, Workshop), SCADA Network Control, HQ - Admin",#N/A
"Bloemhof Block (HQ Engineering, Protection) Registry, PTM Measurement",#N/A
"Bloemhof Block E and F (LV, MV)",#N/A
Atlantis Depot,12045
City Depot (Hudson St),#N/A
Gugulethu Depot,#N/A
Mowbray Depot,#N/A
Mitchell's Plain Depot,#N/A
Muizenberg Depot,#N/A
Ndabeni Depot Complex Main Meter,#N/A
Parow Depot,#N/A
Rosmead Depot,#N/A
Somerset West Depot,#N/A
Wynberg Depot ,#N/A
